,Similar_Recipe_ID,TF-IDF Value,Recipe_ID
202,미역수제비,0.5404023,미역국
203,두부탕,0.5279049,미역국
204,홍합미역국,0.5034168,미역국
205,두부미역냉채,0.43475363,미역국
206,무맑은국,0.40109733,미역국
207,양파전,0.3735919,미역국
208,쇠고기완자찜,0.36224076,미역국
209,두부스테이크,0.36165294,미역국
210,쇠고기무국,0.3365956,미역국
211,해초무침,0.28278154,미역국
212,유부미역된장국,0.4603932,미역냉국
213,오이냉국,0.37111318,미역냉국
214,다시마냉국,0.34861708,미역냉국
215,오이지장아찌무침,0.30789372,미역냉국
216,오이나물,0.22909033,미역냉국
217,오징어도라지생채,0.21376505,미역냉국
218,오이소박이,0.213193,미역냉국
219,상추겉절이비빔밥,0.20005229,미역냉국
220,우묵냉채,0.19423793,미역냉국
221,떡국,0.18905072,미역냉국
222,죽순회와미나리강회,0.44627318,생태국
223,생태매운탕,0.3745949,생태국
224,콩나물미나리무침,0.36677468,생태국
225,나박김치,0.30610397,생태국
226,우거지된장찌개,0.28997973,생태국
227,대구탕,0.2848464,생태국
228,콩나물잡채,0.274399,생태국
229,아욱국,0.27402073,생태국
230,단호박 고등어조림,0.27052885,생태국
231,별미밥,0.24349272,생태국
232,토마토미니새송이볶음,0.19196503,연어까르파치오
233,쌀샐러드,0.1574789,연어까르파치오
234,버섯파스타,0.15031284,연어까르파치오
235,카레토마토달걀볶음밥,0.14421892,연어까르파치오
236,쇠고기양송이볶음,0.14090231,연어까르파치오
237,두부카나페,0.13184743,연어까르파치오
238,녹차콩국수,0.13124825,연어까르파치오
239,양송이버섯죽,0.12753138,연어까르파치오
240,시금치샐러드,0.12482091,연어까르파치오
241,해물스파게티,0.122157454,연어까르파치오
242,다시마냉국,0.4929931,오이냉국
243,오이지장아찌무침,0.4787185,오이냉국
244,쌈장,0.435339,오이냉국
245,고춧기름,0.41810668,오이냉국
246,닭고기콩나물덮밥,0.40442854,오이냉국
247,무생채,0.40102372,오이냉국
248,두부국,0.39037526,오이냉국
249,깻잎장아찌,0.37451878,오이냉국
250,미역냉국,0.37111318,오이냉국
251,고등어김치조림,0.36291978,오이냉국
252,해물찌개,0.184137,해산물샐러드
253,토마토해산물스파게티,0.17702548,해산물샐러드
254,오징어산적,0.13281207,해산물샐러드
255,해파리해물냉채,0.12233974,해산물샐러드
256,삼색나물월남쌈,0.117138095,해산물샐러드
257,오징어풋마늘산적,0.11031967,해산물샐러드
258,연어샐러드,0.10894667,해산물샐러드
259,쌀샐러드,0.10835559,해산물샐러드
260,조개맑은국,0.09695443,해산물샐러드
261,낙지연포탕,0.09277807,해산물샐러드
262,재첩국,0.99999994,재첩국
263,부추전,0.29911795,재첩국
264,물만두,0.2622075,재첩국
265,오이소박이,0.2507162,재첩국
266,부추표고버섯볶음,0.23894167,재첩국
267,부추부침개,0.23828088,재첩국
268,부추올리브오일무침,0.23038577,재첩국
269,부추김치,0.22369717,재첩국
270,모듬전,0.2177811,재첩국
271,부추잡채,0.20246378,재첩국
272,꽃만두국(완당국),0.1904196,재첩국
273,구운감자와도미구이,0.99999994,구운감자와도미구이
274,그린파스타,0.30443463,구운감자와도미구이
275,토마토미니새송이볶음,0.25123927,구운감자와도미구이
276,바질페스토 스파게티,0.22037141,구운감자와도미구이
277,연어샐러드,0.19010307,구운감자와도미구이
278,까르보나라스파게티,0.18297504,구운감자와도미구이
279,버섯파스타,0.16971517,구운감자와도미구이
280,감자수프,0.16891985,구운감자와도미구이
281,돼지갈비레몬찜,0.1488971,구운감자와도미구이
282,해물스파게티,0.14670366,구운감자와도미구이
283,파프리카볶음밥,0.11411417,구운감자와도미구이
284,불고기,0.48534557,쇠고기산적
285,버섯잡채밥,0.4742006,쇠고기산적
286,오징어산적,0.36348563,쇠고기산적
287,잡채,0.32746342,쇠고기산적
288,닭꼬치구이,0.29899967,쇠고기산적
289,오징어풋마늘산적,0.29435062,쇠고기산적
290,삼겹살채소말이,0.26677838,쇠고기산적
291,갈비구이,0.25171202,쇠고기산적
292,떡갈비구이,0.23592603,쇠고기산적
293,쇠고기무국,0.23340246,쇠고기산적
294,고등어튀김케첩조림,0.4273085,쇠고기양송이볶음
295,삼겹살치즈구이,0.3866782,쇠고기양송이볶음
296,김치채소볶음,0.3662752,쇠고기양송이볶음
297,고추장스파게티,0.35176188,쇠고기양송이볶음
298,생선탕수,0.34640947,쇠고기양송이볶음
299,어묵볶음,0.3449673,쇠고기양송이볶음
300,오믈렛,0.3260705,쇠고기양송이볶음
301,떡볶이,0.3225582,쇠고기양송이볶음
302,쑥버섯볶음,0.32153898,쇠고기양송이볶음
303,볶음우동,0.30443636,쇠고기양송이볶음
304,찬밥지짐이,0.4490082,팥국수
305,팥시루떡,0.4473897,팥국수
306,대대로닭칼국수,0.39609486,팥국수
307,팥칼국수,0.3265299,팥국수
308,찰밥,0.3145334,팥국수
309,단팥죽,0.2981831,팥국수
310,호박죽,0.2944533,팥국수
311,동지팥죽,0.28711364,팥국수
312,찰밥주먹밥,0.2197997,팥국수
313,오곡밥,0.1958963,팥국수
314,탕수육,0.43250987,죽순표고버섯볶음나물
315,누룽지탕,0.41856182,죽순표고버섯볶음나물
316,류산슬,0.4110586,죽순표고버섯볶음나물
317,조개맑은국,0.39745843,죽순표고버섯볶음나물
318,죽순볶음,0.37097767,죽순표고버섯볶음나물
319,콩나물잡채,0.36198136,죽순표고버섯볶음나물
320,쇠고기덮밥,0.36049834,죽순표고버섯볶음나물
321,계란말이,0.3603205,죽순표고버섯볶음나물
322,모듬전,0.35547954,죽순표고버섯볶음나물
323,볶음우동,0.35179278,죽순표고버섯볶음나물
324,물만두,0.7150725,부추표고버섯볶음
325,중국식볶음밥,0.4877571,부추표고버섯볶음
326,부추잡채,0.44763273,부추표고버섯볶음
327,류산슬,0.4289784,부추표고버섯볶음
328,모듬전,0.39990342,부추표고버섯볶음
329,제육배추찜,0.39176586,부추표고버섯볶음
330,오이소박이,0.38884163,부추표고버섯볶음
331,잡채밥,0.3774631,부추표고버섯볶음
332,김치채소볶음,0.3749234,부추표고버섯볶음
333,부추김치,0.36527127,부추표고버섯볶음
334,무쌈말이,0.28288898,두부드레싱과 채소샐러드
335,두부파프리카전,0.18117185,두부드레싱과 채소샐러드
336,파프리카볶음밥,0.16256776,두부드레싱과 채소샐러드
337,주먹밥,0.15229827,두부드레싱과 채소샐러드
338,잡채,0.15108408,두부드레싱과 채소샐러드
339,채소피클,0.14282157,두부드레싱과 채소샐러드
340,상추겉절이비빔밥,0.14260957,두부드레싱과 채소샐러드
341,꽃상추쌈,0.13953991,두부드레싱과 채소샐러드
342,잔멸치된장볶음,0.1336122,두부드레싱과 채소샐러드
343,상추미소국,0.13332875,두부드레싱과 채소샐러드
344,콩나물무침,0.99999994,콩나물무침
345,오이나물,0.750243,콩나물무침
346,숙주미나리무침,0.5868785,콩나물무침
347,콩나물미나리무침,0.5509382,콩나물무침
348,두릅된장무침,0.4729495,콩나물무침
349,두부양념조림,0.4677278,콩나물무침
350,고등어무조림,0.44092533,콩나물무침
351,깻잎장아찌,0.4226721,콩나물무침
352,콩나물잡채,0.41272977,콩나물무침
353,별미밥,0.36615232,콩나물무침
354,빈대떡,0.35853615,콩나물무침
355,유부초밥,0.4861859,우엉조림
356,돼지고기우엉말이조림,0.45761132,우엉조림
357,토란닭고기찜,0.37200156,우엉조림
358,오징어불고기,0.32032517,우엉조림
359,돼지불고기,0.29258108,우엉조림
360,오징어도라지생채,0.27999848,우엉조림
361,홍차계란장조림,0.25236967,우엉조림
362,홍합꼬치구이,0.25016934,우엉조림
363,두부양념조림,0.24547076,우엉조림
364,오징어통구이,0.24263479,우엉조림
365,김치동그랑땡,0.43497968,바질토마토두부샐러드
366,버섯두부찌개,0.28217316,바질토마토두부샐러드
367,꽃상추쌈,0.2579115,바질토마토두부샐러드
368,우유두부,0.24566872,바질토마토두부샐러드
369,닭고기카레튀김,0.23016503,바질토마토두부샐러드
370,해파리냉채,0.22534543,바질토마토두부샐러드
371,한우토마토스튜,0.19175476,바질토마토두부샐러드
372,토마토해산물스파게티,0.19070536,바질토마토두부샐러드
373,마늘장아찌,0.18077907,바질토마토두부샐러드
374,주먹밥,0.17378557,바질토마토두부샐러드
375,치즈멸치볼,0.60439837,멸치볶음
376,잔멸치된장볶음,0.5858063,멸치볶음
377,가지쇠고기볶음,0.32733625,멸치볶음
378,다시마볶음,0.27613157,멸치볶음
379,고추장아찌,0.24434766,멸치볶음
380,부추표고버섯볶음,0.23488747,멸치볶음
381,무나물,0.22234249,멸치볶음
382,치킨버섯찜,0.22035646,멸치볶음
383,감자고추채볶음,0.1963149,멸치볶음
384,치킨데리야끼,0.19491458,멸치볶음
385,갈치구이,0.45927957,갈치무조림
386,조기찜,0.4207952,갈치무조림
387,나박김치,0.40923682,갈치무조림
388,갈치조림,0.37623194,갈치무조림
389,쇠고기장조림,0.368347,갈치무조림
390,돼지갈비찜,0.35484642,갈치무조림
391,조기매운탕,0.3323081,갈치무조림
392,오이지장아찌무침,0.3294144,갈치무조림
393,감자탕,0.32809293,갈치무조림
394,메기매운탕,0.31764883,갈치무조림
395,닭불고기,0.99999994,닭불고기
396,닭갈비,0.48096895,닭불고기
397,닭강정,0.47016633,닭불고기
398,오징어통구이,0.4680025,닭불고기
399,닭날개튀김,0.45553255,닭불고기
400,오징어불고기,0.45096204,닭불고기
401,닭꼬치구이,0.44753894,닭불고기
402,낙지볶음,0.42442727,닭불고기
403,제육불고기,0.4147866,닭불고기
404,조기찜,0.38859698,닭불고기
405,고등어무조림,0.36725065,닭불고기
406,고추장아찌,0.31127736,두부다시마말이
407,고추부각,0.26155832,두부다시마말이
408,사색나물,0.2380027,두부다시마말이
409,다시마채소말이,0.23117295,두부다시마말이
410,순대볶음,0.1808863,두부다시마말이
411,계란말이,0.17545328,두부다시마말이
412,시금치들깨수제비,0.1754424,두부다시마말이
413,두부탕,0.17279735,두부다시마말이
414,다시마냉국,0.17065226,두부다시마말이
415,상추 치커리 오징어 초침무,0.1704832,두부다시마말이
416,팥칼국수,0.99999994,팥칼국수
417,팥국수,0.3265299,팥칼국수
418,팥시루떡,0.31933925,팥칼국수
419,찰밥,0.29113194,팥칼국수
420,단팥죽,0.289903,팥칼국수
421,호박죽,0.28627676,팥칼국수
422,동지팥죽,0.2657522,팥칼국수
423,찰밥주먹밥,0.20344648,팥칼국수
424,오곡밥,0.18132149,팥칼국수
425,오곡주먹밥,0.16399337,팥칼국수
426,고추장아찌,0.09292226,팥칼국수
427,콩나물잡채,0.99999994,콩나물잡채
428,콩나물미나리무침,0.6350305,콩나물잡채
429,별미밥,0.52807444,콩나물잡채
430,화양적,0.51118135,콩나물잡채
431,불고기낙지전골,0.44247177,콩나물잡채
432,떡갈비구이,0.43069023,콩나물잡채
433,중국식볶음밥,0.4263442,콩나물잡채
434,콩나물무침,0.41272977,콩나물잡채
435,불고기,0.40151057,콩나물잡채
436,모듬전,0.39295918,콩나물잡채
437,쇠고기장조림,0.39281914,콩나물잡채
438,오징어볶음과소면,0.32958373,양배추말이찜
439,꽃만두국(완당국),0.31016228,양배추말이찜
440,떡갈비구이,0.2944457,양배추말이찜
441,쇠고기완자찜,0.28991264,양배추말이찜
442,갈비찜,0.28809708,양배추말이찜
443,깐풍새우,0.28453955,양배추말이찜
444,두부두루치기,0.28140575,양배추말이찜
445,라조육,0.27718982,양배추말이찜
446,버섯덮밥,0.26018924,양배추말이찜
447,제육보쌈,0.25592762,양배추말이찜
448,마늘장아찌,0.99999994,마늘장아찌
449,고추장아찌,0.40864196,마늘장아찌
450,오이냉국,0.36286023,마늘장아찌
451,깐풍새우,0.3415349,마늘장아찌
452,무생채,0.31998318,마늘장아찌
453,깐풍기,0.30749542,마늘장아찌
454,오징어숙회,0.29991007,마늘장아찌
455,누룽지탕,0.2959349,마늘장아찌
456,무맑은국,0.272923,마늘장아찌
457,쇠고기장조림,0.25834197,마늘장아찌
458,부추올리브오일무침,0.25340617,마늘장아찌
459,오징어불고기,0.99999994,오징어불고기
460,오징어통구이,0.74061906,오징어불고기
461,오징어도라지생채,0.5979699,오징어불고기
462,돼지불고기,0.5586032,오징어불고기
463,오징어숙회,0.5412685,오징어불고기
464,오징어볶음과소면,0.5390677,오징어불고기
465,홍합꼬치구이,0.5067984,오징어불고기
466,제육불고기,0.48656726,오징어불고기
467,닭불고기,0.45096204,오징어불고기
468,오징어젓갈,0.43844062,오징어불고기
469,낙지볶음,0.40095612,오징어불고기
470,고등어튀김케첩조림,0.43472144,생선탕수
471,생선전,0.42576537,생선탕수
472,라조육,0.402653,생선탕수
473,깐풍새우,0.37820402,생선탕수
474,버섯덮밥,0.360412,생선탕수
475,쇠고기양송이볶음,0.34640947,생선탕수
476,치킨데리야끼,0.31606203,생선탕수
477,라조기,0.2790368,생선탕수
478,닭날개튀김,0.27777255,생선탕수
479,쇠고기전골,0.2590068,생선탕수
480,갈비구이,0.99999994,갈비구이
481,오징어통구이,0.44948646,갈비구이
482,돼지갈비찜,0.3602988,갈비구이
483,불고기,0.31249803,갈비구이
484,제육배추찜,0.28122,갈비구이
485,두부양념조림,0.25332165,갈비구이
486,쇠고기산적,0.25171202,갈비구이
487,홍합꼬치구이,0.25136697,갈비구이
488,오징어불고기,0.23979965,갈비구이
489,돼지갈비구이,0.2329677,갈비구이
490,라조육,0.23119472,갈비구이
491,안심스테이크,0.39480042,돈까스
492,채소수프,0.37004027,돈까스
493,오믈렛,0.33135659,돈까스
494,통마늘장아찌,0.2834141,돈까스
495,바베큐립,0.27536228,돈까스
496,돈까스덮밥,0.26601478,돈까스
497,롤케비지(양배추말이),0.26435128,돈까스
498,김치찌개,0.24940498,돈까스
499,꼬리곰탕,0.24473189,돈까스
500,치즈돈까스,0.23923117,돈까스
501,영양돌솥밥,0.4165382,갈비찜
502,쇠고기완자찜,0.4118122,갈비찜
503,영양채소밥,0.38512617,갈비찜
504,육회,0.36283648,갈비찜
505,백김치,0.35390413,갈비찜
506,보쌈김치,0.35214713,갈비찜
507,무초김치,0.349162,갈비찜
508,불고기낙지전골,0.34735635,갈비찜
509,보쌈김치,0.33188552,갈비찜
510,가지쇠고기볶음,0.3318505,갈비찜
511,굴깍두기,0.57519674,제육보쌈
512,통배추김치,0.40341234,제육보쌈
513,보쌈김치,0.39862707,제육보쌈
514,나박김치,0.35902566,제육보쌈
515,보쌈김치,0.35874316,제육보쌈
516,배추속댓국,0.33931473,제육보쌈
517,두부굴찌개,0.33087415,제육보쌈
518,배추겉절이,0.32513565,제육보쌈
519,배추밤김치,0.32383102,제육보쌈
520,갓김치,0.30908042,제육보쌈
521,오징어불고기,0.5067984,홍합꼬치구이
522,홍합탕,0.42601538,홍합꼬치구이
523,오징어통구이,0.41432568,홍합꼬치구이
524,두부스테이크,0.34428027,홍합꼬치구이
525,닭불고기,0.3427407,홍합꼬치구이
526,홍합미역국,0.33437517,홍합꼬치구이
527,돼지불고기,0.32841513,홍합꼬치구이
528,고등어무조림,0.32281366,홍합꼬치구이
529,주먹밥,0.3052014,홍합꼬치구이
530,김치홍합국,0.30518487,홍합꼬치구이
531,꽁치김치찌개,0.44562227,청국장찌개
532,두부김치,0.3926304,청국장찌개
533,버섯청국장찌개,0.3719803,청국장찌개
534,고등어김치조림,0.24043596,청국장찌개
535,김치찌개,0.2386705,청국장찌개
536,순두부찌개,0.21624368,청국장찌개
537,쇠고기무국,0.20025201,청국장찌개
538,해장라면,0.19884577,청국장찌개
539,김치채소볶음,0.19196504,청국장찌개
540,배추속댓국,0.18701296,청국장찌개
541,김치찌개,0.47215274,순두부찌개
542,두부김치,0.2928025,순두부찌개
543,고등어김치조림,0.25388098,순두부찌개
544,짬뽕해물탕밥,0.24690522,순두부찌개
545,바지락볶음,0.24416947,순두부찌개
546,버섯만두전골,0.24197085,순두부찌개
547,봄동바지락볶음,0.23597889,순두부찌개
548,청국장찌개,0.21624368,순두부찌개
549,계란말이,0.2134242,순두부찌개
550,돈까스,0.21282369,순두부찌개
551,꽃게찌개,0.48870727,동태찌개
552,된장찌개,0.32203007,동태찌개
553,갈치조림,0.31157583,동태찌개
554,해물찌개,0.29994267,동태찌개
555,오징어젓갈,0.29361945,동태찌개
556,두부조림,0.28987724,동태찌개
557,꽃게해물탕,0.284539,동태찌개
558,조기찜,0.2631894,동태찌개
559,부추잡채,0.25434616,동태찌개
560,오징어삼겹살볶음,0.24177104,동태찌개
561,김치찌개,0.99999994,김치찌개
562,순두부찌개,0.47215274,김치찌개
563,떡국,0.3789797,김치찌개
564,두부김치,0.36218217,김치찌개
565,버섯만두전골,0.34933096,김치찌개
566,떡꼬치,0.28939378,김치찌개
567,고등어김치조림,0.2833339,김치찌개
568,짬뽕해물탕밥,0.2698888,김치찌개
569,해장라면,0.25970954,김치찌개
570,돈까스,0.24940498,김치찌개
571,갈비떡볶이,0.24351637,김치찌개
572,순두부,0.44578663,콩비지찌개
573,제육배추찜,0.43421543,콩비지찌개
574,우거지된장찌개,0.29786143,콩비지찌개
575,돼지불고기,0.29030573,콩비지찌개
576,제육불고기,0.2730486,콩비지찌개
577,무생채,0.23764053,콩비지찌개
578,버섯두부찌개,0.2320101,콩비지찌개
579,가지된장찜,0.228307,콩비지찌개
580,부추잡채,0.22591348,콩비지찌개
581,샤브샤브,0.2212792,콩비지찌개
582,북어국,0.99999994,북어국
583,두부조개탕,0.30861467,북어국
584,콩나물미나리무침,0.28272805,북어국
585,양파전,0.27595294,북어국
586,콩나물잡채,0.27179012,북어국
587,콩나물무침,0.26791355,북어국
588,두부조림,0.2669267,북어국
589,알탕,0.2427309,북어국
590,쇠고기장조림,0.23541002,북어국
591,잉어찜,0.23490036,북어국
592,낙지전골,0.20584933,북어국
593,별미밥,0.58302987,유부초밥
594,우엉조림,0.4861859,유부초밥
595,유부계란찜,0.39342403,유부초밥
596,토란닭고기찜,0.38409668,유부초밥
597,돼지고기우엉말이조림,0.3494478,유부초밥
598,유부미역된장국,0.2754879,유부초밥
599,쇠고기덮밥,0.25449297,유부초밥
600,김치주먹밥,0.23153627,유부초밥
601,가지쇠고기볶음,0.22177473,유부초밥
602,버섯덮밥,0.2150404,유부초밥
603,김치주먹밥,0.5740088,오색주먹밥도시락
604,김치수제비,0.40723184,오색주먹밥도시락
605,두부탕,0.33191153,오색주먹밥도시락
606,김치홍합국,0.32214734,오색주먹밥도시락
607,양파전,0.2931394,오색주먹밥도시락
608,감자조림,0.29005802,오색주먹밥도시락
609,쇠고기완자찜,0.28959095,오색주먹밥도시락
610,우묵냉채,0.2858027,오색주먹밥도시락
611,새우죽,0.27149683,오색주먹밥도시락
612,된장찌개,0.26533684,오색주먹밥도시락
613,닭가슴살해파리샐러드,0.45794883,해파리냉채
614,해파리해물냉채,0.3814684,해파리냉채
615,묵과양념장,0.3163584,해파리냉채
616,시금치계란말이,0.28307298,해파리냉채
617,오이냉국,0.23274218,해파리냉채
618,바질토마토두부샐러드,0.22534543,해파리냉채
619,깐풍새우,0.22333749,해파리냉채
620,주먹밥,0.22007653,해파리냉채
621,다시마채소말이,0.21354038,해파리냉채
622,만두샐러드,0.20292225,해파리냉채
623,갓김치,0.77262574,통배추김치
624,배추밤김치,0.61220574,통배추김치
625,나박김치,0.6018021,통배추김치
626,보쌈김치,0.5012279,통배추김치
627,무초김치,0.49319988,통배추김치
